titleId,title,source
BCAS20116,BlazBlue : Calamity Trigger (PlayStation3 the Best),gametdb
BCAS20117,Lair (PlayStation 3 the Best),gametdb
BCAS20118,Red Seeds Profile,gametdb
BCAS20119,MLB 10 The Show,gametdb
BCAS20120,NieR RepliCant,gametdb
BCAS20121,SOCOM 4: U.S. Navy SEALS,gametdb
BCAS20122,NieR,gametdb
BCAS20123,Front Mission Evolved,gametdb
BCAS20124,Totori no Atelier: Arland no Renkinjutsushi 2,gametdb
BCAS20125,Sports Champions,gametdb
BCAS20126,BlazBlue: Continuum Shift,gametdb
BCAS20127,PlayStation 3 Big Hit Titles' Demo Collection Vol. 2,gametdb
BCAS20128,TV Superstars,gametdb
BCAS20129,Chou Jigen Game: Neptune,gametdb
BCAS20131,Toro! Let's Party! (PlayStation 3 the Best),gametdb
BCAS20132,Kung Fu Rider,gametdb
BCAS20133,echochrome ii,gametdb
BCAS20134,The Shoot,gametdb
BCAS20135,Start the Party!,gametdb
BCAS20136,3D Collection,gametdb
BCAS20137,Front Mission Evolved,gametdb
BCAS20138,Brunswick Pro Bowling,gametdb
BCAS20139,Mobile Suit Gundam - Senki Record U.C. 0081 (PlayStation 3 the Best),gametdb
BCAS20140,EyePet (Move Edition),gametdb
BCAS20141,The Fight,gametdb
BCAS20142,Uncharted 2: Among Thieves (Game of the Year Edition),gametdb
BCAS20143,Fallout: New Vegas,gametdb
BCAS20144,Beat Sketch!,gametdb
BCAS20146,Atelier Rorona: The Alchemist of Arland,gametdb
BCAS20147,Agarest Senki 2,gametdb
BCAS20148,Rorona no Atelier: Arland no Renkinjutsushi,gametdb
BCAS20149,Sly Cooper Collection,gametdb
BCAS20150,The ICO &amp; Shadow of the Colossus Collection,gametdb
BCAS20151,Gran Turismo 5 (First Print Limited Edition),gametdb
BCAS20153,SingStar Dance (Party Pack),gametdb
BCAS20154,Gran Turismo 5 (Collector's Edition),gametdb
BCAS20156,Furi Furi! Saru Get You,gametdb
BCAS20157,Killzone 2 (PlayStation3 the Best),gametdb
BCAS20158,PlayStation 3 Big Hit Titles' Demo Collection Vol. 3,gametdb
BCAS20159,Ape Escape On the Move!,gametdb
BCAS20160,MotorStorm 3: Apocalypse,gametdb
BCAS20161,Mindjack,gametdb
BCAS20162,Arcana Heart 3,gametdb
BCAS20163,Playstation Move Heroes,gametdb
BCAS20164,Gran Turismo 5 (Dual Shock 3 bundle Pack) or (Collector's Pack 2nd Edition),gametdb
BCAS20165,Hyperdimension Neptunia,gametdb
BCAS20166,Catherine,gametdb
BCAS20167,Samurai Dou 4,gametdb
BCAS20168,Makai Senki Disgaea 4,gametdb
BCAS20169,MLB 11: The Show,gametdb
BCAS20173,El Shaddai: Ascension of the Metatron,gametdb
BCAS20174,Man vs. Wild with Bear Grylls,gametdb
BCAS20175,God of War: Origins Collection,gametdb
BCAS20176,NieR RepliCant (Ultimate Hits),gametdb
BCAS20177,Star Ocean: The Last Hope International (Ultimate Hits),gametdb
BCAS20178,Brink,gametdb
BCAS20180,inFamous,gametdb
BCAS20181,inFamous 2,gametdb
BCAS20182,Atelier Meruru: The Alchemist of Arland 3,gametdb
BCAS20183,Hunted: The Demon's Forge,gametdb
BCAS20184,Cars 2: The Video Game,gametdb
BCAS20185,Disgaea 4: A Promise Unforgotten,gametdb
BCAS20186,Bleach: Soul Ignition,gametdb
BCAS20189,No More Heroes: Red Zone Edition,gametdb
BCAS20192,Split/Second,gametdb
BCAS20193,Toy Story 3,gametdb
BCAS20195,Chou Jigen Game Neptune Mk2,gametdb
BCAS20196,Final Fantasy XIII-2,gametdb
BCAS20200,Ratchet &amp; Clank: All 4 One,gametdb
BCAS20201,LittleBigPlanet 2 (Annual Special Edition),gametdb
BCAS20202,ICO,gametdb
BCAS20203,Wander to Kyozou,gametdb
BCAS20204,Medieval Moves: Deadmund's Quest,gametdb
BCAS20205,LittleBigPlanet Karting,gametdb
BCAS20206,Disgaea 4: A Promise Unforgotten,gametdb
BCAS20208,Minna no Golf 5 (PlayStation 3 the Best),gametdb
BCAS20209,Atelier Totori: The Adventurer of Arland,gametdb
BCAS20210,Carnival Island,gametdb
BCAS20211,To Heart 2 DX Plus,gametdb
BCAS20212,EyePet &amp; Friends,gametdb
BCAS20213,Start the Party 2! Save the World,gametdb
BCAS20215,Disney Universe,gametdb
BCAS20218,Ni no Kuni: Shiroki Seihai no Joou,gametdb
BCAS20219,Move Fitness,gametdb
BCAS20221,Cartoon Network: Punch Time Explosion XL,gametdb
BCAS20222,Jak &amp; Daxter  Collection,gametdb
BCAS20223,Final Fantasy XIII-2 Lightning Edition Ver.2 Bundle,gametdb
BCAS20224,Final Fantasy XIII-2,gametdb
BCAS20225,Final Fantasy XIII-2,gametdb
BCAS20226,All About PlayStation Game Hits Vol. 1,gametdb
BCAS20227,BlazBlue: Continuum Shift: Extend,gametdb
BCAS20228,Wizardry Perfect Pack,gametdb
BCAS20229,Gran Turismo 5 Spec II,gametdb
BCAS20230,Twisted Metal,gametdb
BCAS20233,Tokyo Jungle,gametdb
BCAS20234,BlazBlue: Continuum Shift Extend,gametdb
BCAS20236,Attouteki Yuugi: Mugen Souls,gametdb
BCAS20237,MLB 12: The Show,gametdb
BCAS20239,Totori no Atelier: Arland no Renkinjutsushi 2,gametdb
